Name,Release Date,Holiday(Y/N),Actor,Times Celebex Male,Times Celebex Female,Box Office Range,Target,Box Office Sales,Duration,Duration Range,Facebook Likes (3 month),Facebook(2 months),Facebook(1 month),Facebook(15 days),Facebook(1 week),Facebook(3 days),Trend,Promotion before 3 months,Log(start/average),log(end/average),Increase 3-2,Increase 2-1,Increase 1-15 days,Increase 15-7 days,Increase 7-3 days,isSequel,isUniversal,isAction,isComedy,isThriller,isAdventure,isRomantic,isDrama,isBiography,isCrime,isMusical,isSport,isMystery,isHorror
Mastizaade,29/1/16,N,"Tushaar Kapoor, Vir Das",0,0,<25,<50,"17,71,50,000",1:59,<2,12241,12938,78390,86101,90657,92233,1.645096619,1,-0.358515353,-0.133307656,5.69,505.89,9.84,5.29,1.74,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Tere Bin Laden,26/2/16,N,"Ali Zafar, Pradhuman Singh",0,0,<25,<50,"3,39,75,000",1:35,<2,283076,282291,289397,314646,315411,316122,1.064512153,1,1.0055708,0.40166073,-0.28,2.52,8.72,0.24,0.23,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Bajrangi Bhaijaan,17/7/15,Y,"Salman Khan, Kareena Kapoor",1,1,>100,>100,"3,15,49,00,000",2:43,2.5 - 3,43,74,511508,579505,766335,1014473,2.730799773,1,-2.812863795,0.908046502,72.09,691127.03,13.29,32.24,32.38,0,0,1,1,0,0,0,1,0,0,0,0,0,0
Piku,5/8/2015,Y,"Amitabh Bachchan, Deepika Padukone",0,1,75 - 100,50-100,"78,38,50,000",2:03,2 - 2.5,10974,11912,236400,244581,247347,251746,1.675594438,1,-0.405967295,0.302768588,8.55,1884.55,3.46,1.13,1.78,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Tamasha,25/11/15,Y,"Ranbir Kapoor, Deepika Padukone",1,1,50 - 75,50-100,"68,55,50,000",2:19,2 - 2.5,24683,372998,514030,530508,537414,542441,1.37005445,1,-0.053934307,0.636158517,1411.15,37.81,3.21,1.3,0.94,0,0,0,1,0,0,1,1,0,0,0,0,0,0
Dil Dhadakne Do,6/5/2015,N,"Anil Kapoor, Priyanka Chopra, Ranveer Singh",0,1,75 - 100,50-100,"75,05,25,000",2:50,2.5 - 3,42462,43085,108485,114307,119721,123276,1.439938326,1,0.181668196,-0.007315456,1.47,151.79,5.37,4.74,2.97,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Baahubali,7/9/2015,Y,"Prabhas, Rana Daggubati, Anuskha Shetty",0,0,>100,>100,"1,76,47,08,000",2:39,2 - 2.5,929030,982944,1141512,1211676,1263955,1289876,1.166439415,1,1.521697488,1.012353972,5.8,16.13,6.15,4.31,2.05,0,0,1,0,0,1,0,1,0,0,0,0,0,0
Drishyam,31/7/15,N,Ajay Devgn,1,0,50 - 75,50-100,"68,66,50,000",2:43,2.5 - 3,0,8077,84043,160852,252001,298232,2.95294996,0,-0.753640947,0.376360251,0,940.52,91.39,56.67,18.35,0,0,0,0,0,0,0,1,0,1,0,0,1,0
Brothers,14/8/15,Y,"Akshay Kumar, Sidharth Malhotra",1,0,50 - 75,50-100,"70,65,50,000",2:36,2.5 - 3,11351,31011,108036,116168,127316,131441,1.668532708,1,-0.391298127,0.020536864,173.2,248.38,7.53,9.6,3.24,0,0,1,0,0,0,0,1,0,0,0,1,0,0
Singh is Bliing,10/2/2015,Y,"Akshay Kumar, Sunny Leone, Amy Jackson",0,0,50 - 75,50-100,"71,07,50,000",2:20,2 - 2.5,23888,33609,352158,475888,615356,687611,2.290663796,1,-0.06815246,0.739148825,40.69,947.81,35.13,29.31,11.74,1,0,1,1,0,0,0,1,0,0,0,0,0,0
